name,average_user_rating,num_user_ratings,min_players,max_players,min_playtime,max_playtime,price_au,price_ca,price_uk
Mombasa,3.9327692307692304,100.0,2.0,4.0,75.0,150.0,0.00,0.00,0.00
Sprawlopolis,3.6850490196078445,96.0,1.0,4.0,15.0,20.0,0.00,27.95,0.00
On Mars,4.382978723404255,47.0,1.0,4.0,90.0,150.0,219.99,175.88,0.00
Mystic Vale,3.4907306434023986,131.0,2.0,4.0,45.0,60.0,71.99,40.95,34.49
Chinatown,3.716981132075472,106.0,3.0,5.0,60.0,60.0,64.99,47.95,34.29
Lorenzo il Magnifico,4.012820512820513,78.0,2.0,4.0,60.0,120.0,84.99,67.95,41.79
Dungeon Petz,3.626016260162601,123.0,2.0,4.0,90.0,120.0,67.99,54.95,35.80
Fog of Love,3.4745762711864385,118.0,2.0,2.0,60.0,120.0,66.99,44.95,33.79
Libertalia,3.4187943262411356,141.0,2.0,6.0,30.0,60.0,0.00,600.99,0.00
Rajas of the Ganges,3.7468253968253964,105.0,2.0,4.0,45.0,75.0,0.00,48.95,37.59
Dice Throne: Season One,3.8095238095238098,63.0,2.0,6.0,20.0,40.0,0.00,0.00,0.00
High Society,3.514971428571429,125.0,3.0,5.0,20.0,30.0,0.00,21.95,9.81
Nemo's War (Second Edition),4.159999999999999,50.0,1.0,4.0,60.0,120.0,0.00,10.95,0.00
Karuba,3.4453124999999987,128.0,2.0,4.0,30.0,40.0,29.99,21.24,25.65
Exploding Kittens,2.47680783447907,252.0,2.0,5.0,10.0,20.0,34.99,23.95,17.99
Port Royal,3.4758064516129035,124.0,2.0,5.0,20.0,50.0,19.99,39.67,0.00
Pandemic: The Cure,3.476190476190476,126.0,2.0,2.0,30.0,30.0,67.99,67.95,34.79
Roborally,3.2453987730061344,163.0,2.0,8.0,45.0,120.0,0.00,199.99,0.00
Space Alert,3.377049180327869,122.0,1.0,5.0,30.0,45.0,69.99,56.95,30.49
Catan: Cities & Knights,3.603174603174603,126.0,3.0,4.0,60.0,90.0,37.99,46.95,8.30
Can't Stop,3.398437499999999,128.0,2.0,4.0,30.0,45.0,0.00,40.95,0.00
Concept,3.179012345679013,162.0,4.0,12.0,30.0,45.0,54.99,46.99,24.99
Risk,2.5591482174096654,242.0,2.0,6.0,120.0,120.0,0.00,37.68,25.99
Letters from Whitechapel,3.558333333333333,120.0,2.0,6.0,60.0,90.0,0.00,89.10,36.86
